iata_code,iso_region,municipality,name,iso_country
TNN,TW-TNN,Tainan City,Tainan Airport,TW
MZG,TW-PEN,Makung City,Makung Airport,TW
PIF,TW-PIF,Pingtung,Pingtung North Airport,TW
TSA,TW-TPE,Taipei City,Taipei Songshan Airport,TW
TPE,TW-TAO,Taipei,Taiwan Taoyuan International Airport,TW
HUN,TW-HUA,Hualien City,Hualien Airport,TW
NRT,JP-12,Tokyo,Narita International Airport,JP
MMJ,JP-20,Matsumoto,Matsumoto Airport,JP
IBR,JP-08,Omitama,Hyakuri Airport,JP
KIX,JP-27,Osaka,Kansai International Airport,JP
SHM,JP-30,Shirahama,Nanki Shirahama Airport,JP
UKB,JP-28,Kobe,Kobe Airport,JP
OBO,JP-01,Obihiro,Tokachi-Obihiro Airport,JP
CTS,JP-01,Chitose / Tomakomai,New Chitose Airport,JP
HKD,JP-01,Hakodate,Hakodate Airport,JP
KUH,JP-01,Kushiro,Kushiro Airport,JP
MMB,JP-01,Ōzora,Memanbetsu Airport,JP
SHB,JP-01,Nakashibetsu,Nakashibetsu Airport,JP
OKD,JP-01,Sapporo,Okadama Airport,JP
WKJ,JP-01,Wakkanai,Wakkanai Airport,JP
IKI,JP-42,Iki,Iki Airport,JP
UBJ,JP-35,Ube,Yamaguchi Ube Airport,JP
TSJ,JP-42,Tsushima,Tsushima Airport,JP
MBE,JP-01,Monbetsu,Monbetsu Airport,JP
AKJ,JP-01,Asahikawa / Hokkaidō,Asahikawa Airport,JP
OIR,JP-01,Okushiri Island,Okushiri Airport,JP
RIS,JP-01,Rishiri,Rishiri Airport,JP
